862;[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];en;Toy Story;Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.;21946944;/rhIRbceoE9lR4veEXuwCC2wARtG.jpg;1995-10-30;810;77;5415
8844;[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}];en;Jumanji;When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.;17015540;/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg;1995-12-15;1040;69;2413
15602;[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}];en;Grumpier Old Men;A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.;117129;/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg;1995-12-22;1010;65;92
31357;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];en;Waiting to Exhale;"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.";3859495;/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg;1995-12-22;1270;61;34
11862;[{'id': 35, 'name': 'Comedy'}];en;Father of the Bride Part II;Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.;8387519;/e64sOI48hQXyru7naBFyssKFxVd.jpg;1995-02-10;1060;57;173
949;[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];en;Heat;Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.;17924928;/zMyfPUelumio3tiDKPffaUpsQTD.jpg;1995-12-15;1700;77;1886
11860;[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];en;Sabrina;An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.;6677277;/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg;1995-12-15;1270;62;141
45325;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}];en;Tom and Huck;A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.;2561161;/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg;1995-12-22;970;54;45
9091;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}];en;Sudden Death;International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...;523158;/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg;1995-12-22;1060;55;174
710;[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}];en;GoldenEye;James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.;14686036;/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg;1995-11-16;1300;66;1194
